symbol
BTC-USD
ETH-USD
USDT-USD
BNB-USD
SOL-USD
USDC-USD
XRP-USD
DOGE-USD
ADA-USD
TRX-USD
AVAX-USD
LINK-USD
SHIB-USD
TON-USD
DOT-USD
BCH-USD
NEAR-USD
LTC-USD
MATIC-USD
UNI-USD
ICP-USD
APT-USD
ETC-USD
STX-USD
FIL-USD
RENDER-USD
ATOM-USD
IMX-USD
HBAR-USD
XLM-USD
ARB-USD
MNT-USD
OP-USD
VET-USD
FTM-USD
INJ-USD
RUNE-USD
GRT-USD
THETA-USD
SEI-USD
ALGO-USD
AAVE-USD
MKR-USD
FLR-USD
FLOW-USD
AXS-USD
SAND-USD
MANA-USD
LDO-USD
SNX-USD
CRV-USD
EGLD-USD
XTZ-USD
GALA-USD
EOS-USD
KAVA-USD
NEO-USD
IOTA-USD
XMR-USD
ZEC-USD
DASH-USD
COMP-USD
1INCH-USD
CHZ-USD
ENJ-USD
BAT-USD
CAKE-USD
ZIL-USD
IOTX-USD
QTUM-USD
ICX-USD
WAVES-USD
ONT-USD
ZRX-USD
ANKR-USD
SKL-USD
STORJ-USD
KNC-USD
CELO-USD
UMA-USD
SUSHI-USD
YFI-USD
CVC-USD
OGN-USD
NMR-USD
BAL-USD
BNT-USD
LSK-USD
REN-USD
AUDIO-USD
DYDX-USD
GMX-USD
PENDLE-USD
SUI-USD
TIA-USD
JUP-USD
PYTH-USD
WIF-USD
BONK-USD
PEPE-USD
